Input, OSD0, OSD1, OSD2
397,58,40,66
398,117,58,98
399,85,16,126
400,95,42,82
401,27,5,113
402,107,100,61
403,60,40,13
404,59,115,48
405,19,13,90
406,4,40,69
407,39,53,84
408,29,39,72
409,18,44,111
410,39,117,93
411,48,4,17
412,57,14,35
413,122,5,23
414,15,103,6
415,73,109,123
416,2,89,50
417,96,124,4
418,30,55,93
419,21,14,6
420,7,88,36
421,121,93,44
422,53,110,89
423,89,13,61
424,29,65,21
425,1,10,71
426,112,127,5
427,0,42,54
428,109,67,26
429,53,99,120
430,85,76,89
431,102,118,36
432,43,127,26
433,40,38,50
434,113,123,50
435,74,8,23
436,39,113,25
437,38,29,43
438,121,36,78
439,97,35,121
440,119,104,99
441,88,74,107
442,44,121,38
443,18,120,105
444,71,3,55
445,19,71,81
446,91,110,42
447,90,31,111
448,68,74,86
449,26,77,11
450,85,28,37
451,106,46,94
452,87,121,104
453,18,110,75
454,40,78,112
455,85,95,41
456,17,78,121
457,37,46,20
458,2,75,112
459,50,7,29
460,54,75,23
461,78,45,127
462,61,83,107
463,20,78,96
464,117,108,24
465,82,19,97
466,119,124,100
467,53,67,57
468,47,51,60
469,33,74,126
470,8,35,75
471,126,3,31
472,11,112,7
473,70,89,36
474,56,119,95
475,68,23,49
476,9,86,124
477,126,51,27
478,23,61,39
479,70,28,21
480,70,83,88
481,84,99,55
482,72,49,69
483,47,113,107
484,75,124,110
485,69,102,13
486,99,5,28
487,100,30,67
488,107,42,93
489,99,17,51
490,22,72,90
491,68,0,43
492,50,24,42
493,50,2,16
494,47,30,54
495,64,119,91
496,111,73,82
497,75,114,45
498,78,113,26
499,22,15,39
500,61,76,68
501,88,102,3
502,18,126,106
503,75,88,25
504,54,17,9
505,104,34,117
506,93,36,5
507,34,87,70
508,0,12,21
509,40,104,122
510,19,124,7
511,123,54,47
512,72,92,69
513,102,35,88
514,64,86,123
515,26,90,74
516,93,107,117
517,25,127,4
518,98,79,84
519,124,83,15
520,50,45,74
521,111,117,121
522,20,81,89
523,62,34,68
524,59,104,38
525,3,44,64
526,1,14,50
527,70,72,11
528,112,38,120
529,62,54,104
530,46,102,53
531,77,82,103
532,18,49,10
533,107,85,12
534,47,118,49
535,35,79,0
536,20,33,90
537,29,84,109
538,123,16,72
539,36,120,23
540,107,76,58
541,111,44,36
542,62,41,9
543,21,41,9
544,106,59,88
545,82,17,41
546,64,7,124
547,72,2,30
548,31,101,112
549,14,63,110
550,79,8,98
551,104,15,124
552,70,43,110
553,119,122,61
554,73,106,97
555,36,61,20
556,28,96,11
557,109,86,37
558,127,5,48
559,15,126,80
560,33,9,52
561,27,87,95
562,78,103,37
563,74,92,126
564,49,89,37
565,54,120,94
566,93,59,2
567,111,79,64
568,41,104,3
569,44,65,57
570,120,43,64
571,95,16,54
572,12,28,49
573,122,73,97
574,27,71,110
575,19,67,50
576,65,22,24
577,19,97,122
578,115,81,47
579,99,4,21
580,73,101,116
581,116,96,106
582,2,23,113
583,86,71,100
584,23,64,45
585,88,83,46
586,81,25,116
587,66,117,96
588,70,15,116
589,88,85,52
590,20,91,110
591,14,99,43
592,24,59,51
593,0,70,50
594,48,93,125
595,16,74,120
596,34,41,59
597,56,6,45
598,40,126,15
599,127,108,116
600,22,7,66
601,34,21,71
602,95,98,26
603,101,44,85
604,99,11,39
605,65,28,53
606,65,55,117
607,85,100,114
608,26,80,4
609,94,100,61
610,89,31,16
611,3,77,109
612,2,126,28
613,17,55,110
614,66,76,82
615,65,17,28
616,109,16,1
617,22,48,96
618,44,121,68
619,11,38,22
620,123,31,3
621,125,101,73
622,101,33,48
623,79,107,32
624,54,72,104
625,5,79,115
626,16,106,42
627,58,114,83
628,120,59,52
629,100,55,25
630,4,36,66
631,126,39,57
632,16,3,124
633,20,110,120
634,31,104,113
635,40,62,106
636,29,82,74
637,15,1,30
638,43,106,59
639,120,71,76
640,104,59,94
641,127,4,25
642,4,90,80
643,49,8,24
644,119,1,84
645,11,40,75
646,16,3,70
647,76,7,34
648,90,122,49
649,14,39,52
650,73,19,44
651,10,126,19
652,27,35,49
653,106,95,100
654,116,14,28
655,87,35,9
656,61,38,30
