Input, OSD0, OSD1, OSD2
1654,37,106,112
1655,52,123,101
1656,29,122,7
1657,8,81,3
1658,96,69,116
1659,59,118,6
1660,54,117,36
1661,57,89,5
1662,107,45,34
1663,112,123,32
1664,103,15,93
1665,9,4,52
1666,31,74,13
1667,59,43,90
1668,70,54,116
1669,25,79,38
1670,74,6,64
1671,44,54,91
1672,9,3,105
1673,65,94,44
1674,72,110,33
1675,107,91,118
1676,34,100,113
1677,49,43,100
1678,90,65,45
1679,71,14,107
1680,19,72,103
1681,17,83,1
1682,37,109,86
1683,67,107,23
1684,54,41,34
1685,5,30,108
1686,26,56,36
1687,0,57,112
1688,26,98,51
1689,30,14,74
1690,25,37,21
1691,121,107,28
1692,35,83,27
1693,17,104,67
1694,61,87,41
1695,15,6,82
1696,45,87,65
1697,79,40,102
1698,3,12,22
1699,71,29,3
1700,103,127,72
1701,119,17,107
1702,73,83,117
1703,120,88,53
1704,92,17,112
1705,6,38,42
1706,64,88,109
1707,31,71,17
1708,48,36,8
1709,29,82,100
1710,54,47,31
1711,23,13,43
1712,15,65,4
1713,26,8,22
1714,12,51,34
1715,60,92,37
1716,82,106,102
1717,93,107,27
1718,79,106,101
1719,6,122,30
1720,96,115,120
1721,51,70,121
1722,95,109,12
1723,89,17,3
1724,76,55,64
1725,90,122,81
1726,44,38,61
1727,107,14,72
1728,98,114,14
1729,5,54,62
1730,69,43,39
1731,23,80,62
1732,0,67,57
1733,92,68,0
1734,26,54,105
1735,75,105,97
1736,52,86,3
1737,108,94,67
1738,42,66,38
1739,112,14,86
1740,87,28,41
1741,118,84,20
1742,6,93,52
1743,41,50,118
1744,75,117,92
1745,21,40,67
1746,46,34,56
1747,11,23,0
1748,101,26,92
1749,60,54,19
1750,123,15,73
1751,124,106,98
1752,18,62,108
1753,64,1,13
1754,43,96,48
1755,97,120,30
1756,51,110,35
1757,38,109,114
1758,126,5,103
1759,78,112,17
1760,118,7,57
1761,76,4,35
1762,33,114,63
1763,52,97,35
1764,118,20,81
1765,59,21,122
1766,122,63,65
1767,78,123,41
1768,26,76,86
1769,94,87,39
1770,62,109,90
1771,76,87,66
1772,28,15,48
1773,52,127,117
1774,94,86,39
1775,56,45,24
1776,99,90,19
1777,67,26,21
1778,101,67,11
1779,43,7,86
1780,72,126,64
1781,100,19,95
1782,10,112,102
1783,55,82,14
1784,111,99,7
1785,61,77,106
1786,44,119,126
1787,42,78,14
1788,74,103,87
1789,101,105,38
1790,59,27,68
1791,7,124,90
1792,80,76,68
1793,100,91,82
1794,75,40,22
1795,62,120,100
1796,84,116,37
1797,98,37,118
1798,1,52,46
1799,27,90,18
1800,110,25,71
1801,20,121,96
1802,15,34,78
1803,113,1,12
1804,52,20,29
1805,58,70,46
1806,29,95,75
1807,74,2,61
1808,50,83,90
1809,82,116,11
1810,97,122,67
1811,79,17,12
1812,110,53,61
1813,26,34,15
1814,69,53,124
1815,87,25,93
1816,2,23,77
1817,32,58,106
1818,17,25,2
1819,106,23,71
1820,41,90,114
1821,34,3,53
1822,32,115,67
1823,109,124,112
1824,42,123,83
1825,40,86,38
1826,123,26,111
1827,76,36,94
1828,38,74,4
1829,14,0,67
1830,62,80,37
1831,46,24,87
1832,107,8,6
1833,28,36,59
1834,63,90,45
1835,38,114,24
1836,87,38,54
1837,42,105,103
1838,124,52,110
1839,68,81,45
1840,108,92,44
1841,49,78,13
1842,12,90,80
1843,9,33,29
1844,6,115,26
1845,96,55,72
1846,86,2,122
1847,61,32,6
1848,125,91,5
1849,66,93,2
1850,17,95,15
1851,41,76,102
1852,86,116,101
1853,115,21,25
1854,68,6,85
1855,14,74,122
1856,80,57,36
1857,116,103,64
1858,70,82,23
1859,90,33,42
1860,77,69,106
1861,25,18,41
1862,113,10,62
1863,79,15,112
1864,99,85,89
1865,94,53,24
1866,64,21,29
1867,96,79,14
1868,33,60,75
1869,60,24,10
1870,34,58,43
1871,3,105,49
1872,46,117,96
1873,112,22,54
1874,115,22,4
1875,106,3,12
1876,48,118,39
1877,63,26,120
1878,77,0,50
1879,41,14,56
1880,3,24,101
1881,19,41,115
1882,79,1,18
1883,51,114,17
1884,114,16,111
1885,80,112,58
1886,45,66,88
1887,80,74,57
1888,78,87,67
1889,23,115,62
1890,48,102,58
1891,9,113,6
1892,57,98,126
1893,4,30,68
1894,64,92,10
1895,33,41,2
1896,31,108,122
1897,23,50,68
1898,0,23,12
1899,115,87,64
1900,16,100,14
1901,7,47,69
1902,25,108,81
1903,111,16,67
1904,110,33,59
1905,41,58,9
1906,45,6,54
1907,92,5,103
1908,108,31,12
1909,62,73,124
1910,124,16,67
1911,92,3,104
1912,49,59,80
1913,59,12,116
1914,101,126,105
1915,5,23,113
1916,110,64,123
1917,46,30,116
1918,73,39,20
1919,82,18,5
1920,20,44,14
1921,51,57,43
1922,75,35,59
1923,9,89,86
1924,65,41,3
1925,73,121,43
1926,54,15,59
1927,112,98,50
1928,1,20,49
1929,106,89,0
1930,43,64,117
1931,40,27,99
1932,18,118,97
1933,126,39,106
1934,94,87,52
1935,23,47,100
1936,15,19,101
1937,79,98,3
1938,118,67,88
1939,77,6,89
1940,36,52,124
1941,63,88,35
1942,88,16,72
1943,106,56,67
1944,87,74,1
1945,37,73,83
1946,108,90,118
1947,47,69,63
1948,13,111,65
1949,71,77,42
1950,18,1,25
1951,77,9,104
1952,29,22,33
1953,46,99,66
1954,69,43,89
1955,108,56,8
1956,102,37,123
1957,68,103,83
1958,15,86,38
1959,61,37,20
1960,91,21,24
1961,9,41,6
1962,52,12,57
1963,70,73,88
1964,75,81,90
1965,85,66,72
1966,81,35,61
1967,6,92,17
1968,60,119,16
1969,61,94,40
1970,32,16,63
1971,62,103,7
1972,5,40,58
1973,80,110,41
1974,48,95,126
1975,67,76,27
1976,22,13,101
1977,57,17,37
1978,113,99,1
1979,46,98,70
1980,20,28,55
1981,21,111,70
1982,9,56,18
1983,113,111,125
1984,33,120,78
1985,40,75,84
1986,113,34,30
1987,96,81,28
1988,3,110,57
1989,36,12,58
1990,50,57,106
1991,86,9,109
1992,85,64,75
1993,92,6,20
1994,103,0,44
1995,14,57,67
1996,105,95,78
1997,78,15,125
1998,55,96,62
1999,67,74,19
2000,5,13,43
2001,57,37,5
2002,85,66,90
2003,67,51,79
2004,83,39,68
2005,5,125,12
2006,20,64,33
2007,34,63,75
2008,8,25,58
2009,43,62,93
2010,5,106,113
2011,66,116,63
2012,100,81,48
2013,11,5,122
2014,72,43,24
2015,7,115,14
2016,85,102,79
2017,125,27,32
2018,33,95,20
2019,63,96,75
2020,1,125,36
2021,30,100,75
2022,60,64,35
2023,19,13,3
2024,124,23,92
2025,95,63,85
2026,53,87,110
2027,0,110,53
2028,107,63,43
2029,119,21,125
2030,48,102,113
2031,28,76,47
2032,41,117,75
2033,15,126,74
2034,71,38,83
2035,103,37,94
2036,87,62,52
2037,26,122,69
2038,32,109,11
2039,28,49,42
2040,22,66,89
2041,121,32,40
2042,90,120,99
2043,95,81,18
2044,48,29,96
2045,97,58,71
2046,6,16,73
2047,4,75,64
2048,57,40,35
2049,108,3,115
2050,64,104,122
2051,70,22,11
2052,23,39,79
2053,99,109,50
2054,107,2,16
2055,110,96,45
2056,59,77,6
2057,118,20,29
2058,110,96,120
2059,101,111,37
2060,112,96,43
2061,47,56,14
2062,45,121,115
2063,30,20,3
2064,32,41,78
2065,117,47,103
2066,59,107,91
2067,58,10,26
2068,20,108,68
2069,51,5,120
2070,96,20,119
2071,81,124,92
2072,34,30,109
2073,41,101,56
2074,39,110,87
2075,78,28,71
2076,45,59,35
2077,1,65,10
2078,73,1,27
2079,37,20,94
2080,121,42,53
2081,120,30,60
2082,57,50,41
2083,85,24,88
2084,25,60,113
2085,27,63,33
2086,15,41,6
2087,25,86,70
2088,75,122,119
2089,4,8,95
2090,54,95,67
2091,103,108,94
2092,16,0,70
2093,60,8,72
2094,33,1,112
2095,30,114,19
2096,57,14,102
2097,90,39,48
2098,29,11,36
2099,95,19,26
2100,7,16,52
2101,62,68,47
2102,24,106,82
2103,92,19,0
2104,64,26,74
2105,48,26,94
2106,86,124,16
2107,80,70,95
2108,97,73,86
2109,102,124,109
2110,31,101,13
2111,36,127,56
2112,75,56,24
2113,3,93,63
2114,66,12,85
2115,113,65,19
2116,33,54,103
2117,39,104,120
2118,107,117,40
2119,74,71,18
2120,37,41,56
2121,60,43,37
2122,28,64,52
2123,118,3,79
2124,38,0,65
2125,8,63,68
2126,98,87,9
2127,86,31,79
2128,121,81,4
2129,35,58,24
2130,57,97,36
2131,77,89,62
2132,105,95,40
2133,109,42,113
2134,65,108,118
2135,54,70,73
2136,14,124,19
2137,122,3,98
2138,49,32,23
2139,121,27,111
2140,5,71,94
2141,91,32,40
2142,2,25,42
2143,77,120,70
2144,81,119,4
2145,98,16,111
2146,74,100,104
2147,100,19,64
2148,85,95,118
2149,27,8,123
2150,14,101,81
2151,84,11,68
2152,28,82,56
2153,121,19,53
2154,17,106,115
2155,68,60,3
2156,101,33,1
2157,99,91,123
2158,106,125,82
2159,114,68,121
2160,20,3,13
2161,95,112,43
2162,121,41,70
2163,29,9,99
2164,12,50,45
2165,13,66,37
2166,16,109,68
2167,89,71,44
2168,30,117,39
2169,48,26,10
2170,59,33,74
2171,85,111,35
2172,89,47,25
2173,38,25,57
2174,74,84,106
2175,11,126,48
2176,108,102,27
2177,105,94,30
2178,78,23,42
2179,6,105,32
2180,32,118,4
2181,94,87,102
2182,24,125,43
2183,83,32,115
2184,54,12,63
2185,67,97,75
2186,99,109,116
2187,37,24,81
2188,112,64,29
2189,1,75,9
2190,54,98,31
2191,65,85,101
2192,51,56,83
2193,62,103,94
2194,2,71,126
2195,93,72,112
2196,69,74,58
2197,56,119,7
2198,51,41,74
2199,21,28,96
2200,66,28,107
2201,44,35,92
2202,1,94,60
2203,42,104,70
2204,33,9,42
2205,10,48,26
2206,83,54,99
2207,68,105,86
2208,111,82,120
2209,32,61,102
2210,117,126,110
2211,75,116,80
2212,70,108,93
2213,23,25,90
2214,94,70,41
2215,8,42,18
2216,32,62,116
2217,17,76,93
2218,113,111,49
2219,62,99,16
2220,74,22,49
2221,40,115,4
2222,24,121,101
2223,4,61,72
2224,7,28,45
2225,80,68,19
2226,27,10,98
2227,52,6,41
2228,21,9,85
2229,90,75,81
2230,77,3,124
2231,93,71,47
2232,41,52,29
2233,52,58,31
2234,32,106,27
2235,46,54,15
2236,106,87,112
2237,96,105,25
2238,34,80,47
2239,18,46,36
2240,95,25,50
2241,2,125,99
2242,6,61,17
2243,5,76,114
2244,42,15,74
2245,57,126,110
2246,16,14,31
2247,29,20,1
2248,92,86,126
2249,16,123,98
2250,113,65,85
2251,94,57,9
2252,22,31,32
2253,35,55,43
2254,26,127,106
2255,35,106,41
2256,10,27,56
2257,93,102,71
2258,75,85,38
2259,42,116,110
2260,45,48,93
2261,6,105,29
2262,40,90,34
2263,98,112,25
2264,89,107,16
2265,43,17,59
2266,58,107,6
2267,8,27,2
2268,5,40,28
2269,85,94,29
2270,13,114,92
2271,109,126,23
2272,36,72,89
2273,65,94,42
2274,84,35,73
2275,115,39,52
2276,26,47,3
2277,25,113,90
2278,84,73,113
2279,19,6,26
2280,64,74,35
2281,40,3,121
2282,70,85,76
2283,83,125,116
2284,25,68,92
2285,99,116,80
2286,71,86,104
2287,106,23,64
2288,4,126,95
2289,48,38,47
2290,53,67,18
2291,81,49,88
2292,12,88,127
2293,86,18,73
2294,116,43,54
2295,27,115,95
2296,114,81,96
2297,33,41,6
2298,79,16,60
2299,126,49,115
2300,123,97,35
2301,60,16,28
2302,56,18,98
2303,120,99,83
2304,16,71,7
2305,81,61,47
2306,84,109,78
2307,85,99,9
2308,94,10,39
2309,28,21,90
2310,23,65,119
2311,104,101,119
2312,14,108,17
2313,60,45,108
2314,84,127,72
2315,1,24,13
2316,62,120,88
2317,78,45,89
2318,60,55,13
2319,118,109,80
2320,42,2,107
2321,7,11,42
2322,86,16,4
2323,93,105,122
2324,122,74,109
2325,116,7,99
2326,78,34,52
2327,1,73,85
2328,105,42,83
2329,62,111,98
2330,118,31,93
2331,81,89,122
2332,19,98,87
2333,98,14,80
2334,121,81,108
2335,50,61,74
2336,92,109,123
2337,89,38,7
2338,97,5,61
2339,112,33,44
2340,72,64,92
2341,103,64,47
2342,73,92,81
2343,113,30,90
2344,117,40,26
2345,24,65,118
2346,32,48,7
2347,7,43,60
2348,118,76,101
2349,46,69,55
2350,98,122,14
2351,101,8,126
2352,90,28,13
2353,113,15,24
2354,63,99,50
2355,121,100,75
2356,98,64,116
2357,112,41,68
2358,25,77,87
2359,84,110,122
2360,42,122,103
2361,91,117,84
2362,95,98,10
2363,126,109,28
2364,63,79,26
2365,18,88,52
2366,41,79,59
2367,94,36,87
2368,55,13,75
2369,60,35,125
2370,49,40,30
2371,127,106,79
2372,62,29,82
2373,78,42,5
2374,120,1,64
2375,109,84,96
2376,18,65,126
2377,106,85,74
2378,106,54,127
2379,125,110,46
2380,91,14,98
2381,61,110,9
2382,54,15,36
2383,45,89,51
2384,91,49,68
2385,41,18,31
2386,109,90,7
2387,24,22,79
2388,53,59,5
2389,107,37,93
2390,9,79,54
2391,111,77,47
2392,38,59,97
2393,42,87,101
2394,51,30,13
2395,105,9,88
2396,65,47,118
2397,72,4,27
2398,120,0,21
2399,117,30,68
2400,42,29,93
2401,68,89,16
2402,89,117,81
2403,88,86,109
2404,108,54,37
2405,78,58,24
2406,13,2,19
2407,118,61,51
2408,1,106,88
2409,31,1,98
2410,23,111,72
2411,67,29,33
2412,22,119,13
2413,107,102,36
2414,122,20,95
2415,98,73,114
2416,117,4,49
2417,73,97,115
2418,11,4,59
2419,33,44,18
2420,53,99,104
2421,13,101,123
2422,0,78,92
2423,4,124,110
2424,51,29,104
2425,121,80,110
2426,70,5,99
2427,19,4,125
2428,17,25,74
2429,97,115,42
2430,53,91,98
2431,103,64,94
2432,41,108,101
2433,75,32,103
2434,11,117,69
2435,57,5,38
2436,52,31,112
2437,83,74,109
2438,38,96,50
2439,107,59,7
2440,48,61,36
2441,6,88,75
2442,51,47,121
2443,51,44,108
2444,101,126,85
2445,39,72,110
2446,76,45,29
2447,91,21,58
2448,51,127,61
2449,85,127,5
2450,15,25,78
2451,37,62,50
2452,125,98,112
2453,45,12,91
2454,58,100,92
2455,59,65,7
2456,49,110,9
2457,34,86,64
2458,13,54,116
2459,69,21,44
2460,82,114,91
2461,106,126,90
2462,124,110,112
2463,15,118,7
2464,44,87,65
2465,41,54,65
2466,26,42,95
2467,68,96,77
2468,123,116,30
2469,3,41,104
2470,68,40,97
2471,14,61,31
2472,21,101,109
2473,8,38,93
2474,122,7,12
2475,28,51,84
2476,69,79,20
2477,88,71,120
2478,72,95,65
2479,27,33,16
2480,65,53,117
2481,13,115,98
2482,79,112,25
2483,124,53,103
2484,90,42,52
2485,24,78,108
2486,48,67,42
2487,85,9,37
2488,94,106,32
2489,38,115,120
2490,107,114,99
2491,48,65,119
2492,82,94,77
2493,113,124,95
2494,77,2,95
2495,60,70,30
2496,111,32,29
2497,64,17,61
2498,58,65,45
2499,73,103,39
2500,24,22,89
2501,64,44,20
2502,98,46,91
2503,61,88,45
2504,97,30,85
2505,63,50,110
2506,107,34,63
2507,109,124,36
2508,64,40,124
2509,112,97,71
2510,2,63,106
2511,83,10,117
2512,69,91,16
2513,48,60,95
2514,36,106,112
2515,80,9,88
2516,118,46,2
2517,75,96,28
2518,22,110,112
2519,101,29,123
2520,78,93,6
2521,65,118,104
2522,63,27,40
2523,0,20,43
2524,46,7,12
2525,39,97,107
2526,88,0,114
2527,117,108,120
2528,14,106,19
2529,64,94,1
2530,30,117,102
2531,101,58,116
2532,77,91,67
2533,89,117,77
2534,30,55,46
2535,110,89,76
2536,111,90,35
2537,73,123,87
2538,34,100,105
2539,51,6,123
2540,116,51,105
2541,100,12,123
2542,94,114,120
2543,3,125,18
2544,70,18,39
2545,58,111,81
2546,70,98,16
2547,5,85,35
2548,118,46,25
2549,102,47,23
2550,106,100,60
2551,124,7,87
2552,53,19,38
2553,21,54,2
2554,64,118,48
2555,75,102,16
2556,26,36,53
2557,116,26,85
2558,64,7,19
2559,122,49,81
2560,29,36,50
2561,84,8,40
2562,111,76,85
2563,77,105,50
2564,94,16,118
2565,64,24,85
2566,14,74,94
2567,69,5,97
2568,120,61,112
2569,62,78,32
2570,64,121,63
2571,20,109,116
2572,95,82,6
2573,50,14,32
2574,125,14,41
2575,32,63,80
2576,62,73,125
2577,28,15,19
2578,71,56,53
2579,105,88,26
2580,55,4,127
2581,79,106,11
2582,75,92,86
2583,33,41,118
2584,110,14,100
2585,9,24,35
2586,124,79,107
2587,5,113,10
2588,44,85,54
2589,30,98,107
2590,116,6,28
2591,60,127,51
2592,61,6,124
2593,67,95,26
2594,75,121,109
2595,104,16,29
2596,29,1,13
2597,62,122,54
2598,109,50,68
2599,69,59,38
2600,6,52,72
2601,85,6,45
2602,31,44,11
2603,96,114,8
2604,36,103,50
2605,123,54,114
2606,63,15,3
2607,122,86,54
2608,88,27,35
2609,56,32,30
2610,69,22,113
2611,101,110,75
2612,35,48,89
2613,97,48,80
2614,124,101,40
2615,110,123,88
2616,83,90,57
2617,16,42,31
2618,78,50,85
2619,22,122,14
2620,67,20,37
2621,19,102,7
2622,2,44,76
2623,9,124,65
2624,65,56,55
2625,94,64,61
2626,24,51,78
2627,61,64,95
2628,109,17,54
2629,94,52,115
2630,64,75,95
2631,112,1,111
2632,26,99,7
2633,23,27,118
2634,19,92,8
2635,119,93,124
2636,43,74,4
2637,107,75,46
2638,71,7,90
2639,62,115,51
2640,94,70,81
2641,2,100,91
2642,5,123,90
2643,21,87,72
2644,72,82,121
2645,49,76,45
2646,40,83,35
2647,123,119,62
2648,11,100,37
2649,92,21,28
2650,58,83,126
2651,93,100,62
2652,86,115,5
2653,93,123,113
2654,90,62,112
2655,21,86,94
2656,22,98,83
2657,48,61,46
2658,73,108,89
2659,66,24,93
2660,34,29,51
2661,104,84,47
2662,99,76,120
2663,121,35,104
2664,65,127,114
2665,16,44,101
2666,115,25,97
2667,78,86,127
2668,87,74,93
2669,58,78,114
2670,94,103,8
2671,24,62,10
2672,26,7,17
2673,70,37,44
2674,21,5,37
2675,120,35,99
2676,10,26,117
2677,39,120,66
2678,117,57,93
2679,30,10,115
2680,49,93,60
2681,97,18,79
2682,86,120,35
2683,67,100,50
2684,25,106,10
2685,34,95,20
2686,94,16,110
2687,65,100,118
2688,97,43,18
2689,38,113,93
2690,108,56,123
2691,12,68,57
2692,24,1,105
2693,17,117,50
2694,35,103,14
2695,5,18,15
2696,35,114,40
2697,37,20,81
2698,70,56,77
2699,80,52,3
2700,53,57,69
2701,39,116,62
2702,39,125,5
2703,117,94,126
2704,63,21,120
2705,9,111,84
2706,12,96,25
2707,38,76,43
2708,12,108,78
2709,95,45,76
2710,106,98,123
2711,24,49,17
2712,63,31,102
2713,61,3,27
2714,74,96,88
2715,34,101,72
2716,92,124,32
2717,48,60,118
2718,56,71,86
2719,31,62,120
2720,7,26,97
2721,65,17,27
2722,14,78,69
2723,113,63,2
2724,47,38,20
2725,76,34,14
2726,29,34,102
2727,6,96,50
2728,77,19,11
2729,22,35,57
2730,66,81,119
2731,97,26,92
2732,63,81,112
2733,71,63,72
2734,115,97,15
2735,7,17,78
2736,100,70,40
2737,81,99,77
2738,125,8,48
2739,56,99,32
2740,96,23,25
2741,103,69,118
2742,110,16,63
2743,74,96,5
2744,16,15,91
2745,9,123,77
2746,3,17,12
2747,16,108,29
2748,27,37,83
2749,0,111,103
2750,26,91,9
2751,90,6,80
2752,28,57,35
2753,28,52,90
2754,33,127,13
2755,104,65,115
2756,22,25,6
2757,10,42,60
2758,89,5,27
2759,34,67,116
2760,69,76,117
2761,59,112,47
2762,72,30,7
2763,82,61,3
2764,73,120,52
2765,45,101,114
2766,6,14,126
2767,17,82,27
2768,45,61,104
2769,16,118,40
2770,18,13,102
2771,96,10,112
2772,112,72,66
2773,23,27,9
2774,53,111,11
2775,112,36,42
2776,123,29,16
2777,72,58,45
2778,29,71,58
2779,29,117,126
2780,88,126,108
2781,27,74,0
2782,69,29,50
2783,75,1,43
2784,105,11,95
2785,58,55,41
2786,59,41,4
2787,37,5,20
2788,110,17,31
2789,46,38,48
2790,80,67,103
2791,21,57,28
2792,65,99,62
2793,98,42,121
2794,73,69,61
2795,86,60,121
2796,69,80,25
2797,5,60,116
2798,41,69,2
2799,10,42,21
2800,119,45,77
2801,51,9,96
2802,64,121,20
2803,41,33,73
2804,62,93,29
2805,16,48,110
2806,21,32,2
2807,119,77,1
2808,23,104,93
2809,106,126,97
2810,75,65,27
2811,101,43,34
2812,1,77,81
2813,84,90,16
2814,120,30,84
2815,73,70,22
2816,122,86,33
2817,51,8,67
2818,90,47,32
2819,1,49,126
2820,81,100,73
2821,25,23,3
2822,67,51,103
2823,42,26,56
2824,2,86,69
2825,121,75,46
2826,76,30,126
2827,127,80,59
2828,92,23,62
2829,91,56,39
2830,106,51,24
2831,67,3,48
2832,49,34,101
2833,10,83,76
2834,93,48,37
2835,77,82,0
2836,83,73,92
2837,105,69,102
2838,70,120,58
2839,77,103,32
2840,86,47,51
2841,99,53,120
2842,61,27,13
2843,125,45,80
2844,119,97,11
2845,95,127,64
2846,96,1,56
2847,28,105,53
2848,115,8,68
2849,23,109,123
2850,65,125,78
2851,54,93,25
2852,116,111,83
2853,40,28,7
2854,35,78,60
2855,71,110,100
2856,82,25,94
2857,70,93,44
2858,27,88,75
2859,90,75,6
2860,83,75,61
2861,40,87,79
2862,106,45,32
2863,47,80,108
2864,87,29,7
2865,63,52,13
2866,117,51,15
2867,62,127,54
2868,90,15,127
2869,86,53,124
2870,123,34,21
2871,56,50,126
2872,116,98,106
2873,28,1,118
2874,24,4,8
2875,46,30,8
2876,82,27,104
2877,102,44,9
2878,55,33,12
2879,14,116,104
2880,108,127,37
2881,20,125,93
2882,123,22,9
2883,25,126,105
2884,55,64,31
2885,73,50,115
2886,49,95,26
2887,127,65,60
2888,32,115,123
2889,46,35,111
2890,56,114,45
2891,58,119,99
2892,98,14,120
2893,46,53,73
2894,99,65,41
2895,125,100,78
2896,34,86,96
2897,92,29,96
2898,83,36,13
2899,49,88,56
2900,45,126,64
2901,87,74,102
2902,101,76,108
2903,123,44,68
2904,114,122,58
2905,32,76,58
2906,65,109,87
2907,18,5,107
2908,38,27,127
2909,59,22,10
2910,104,61,50
2911,72,53,58
2912,59,89,75
2913,8,26,53
2914,6,26,18
2915,13,114,54
2916,43,114,72
2917,82,20,54
2918,116,47,93
2919,38,104,43
2920,78,102,82
2921,43,102,66
2922,76,71,95
2923,78,55,66
2924,10,127,67
2925,45,10,99
2926,91,39,102
2927,59,115,74
2928,118,73,64
2929,29,125,38
2930,75,84,41
2931,103,34,24
2932,105,71,57
2933,45,33,48
2934,51,4,47
2935,70,127,110
2936,76,41,28
2937,90,13,74
2938,94,83,32
2939,35,82,71
2940,76,63,44
2941,120,7,48
2942,89,57,12
2943,24,35,74
2944,37,73,106
2945,55,127,101
2946,69,34,61
2947,1,64,56
2948,80,20,75
2949,25,108,71
2950,49,58,39
2951,26,110,113
2952,26,79,58
2953,77,14,55
2954,103,2,44
2955,40,3,32
2956,63,123,46
2957,101,113,106
2958,125,117,4
2959,69,125,19
2960,20,46,10
2961,26,15,40
2962,18,91,9
2963,0,34,8
2964,81,21,43
2965,26,4,87
2966,117,42,35
2967,45,124,114
2968,124,42,106
2969,111,6,112
2970,75,42,111
2971,38,83,45
2972,39,96,117
2973,108,94,64
2974,30,73,12
2975,104,45,95
2976,107,90,120
2977,95,81,22
2978,7,12,75
2979,22,73,11
2980,124,118,11
2981,74,50,89
2982,80,22,29
2983,97,36,60
2984,99,108,55
2985,73,19,45
2986,99,73,1
2987,23,83,38
2988,51,62,77
2989,97,93,104
2990,4,18,58
2991,88,5,66
2992,118,105,81
2993,94,121,29
2994,78,6,64
2995,117,40,106
2996,53,9,64
2997,26,48,72
2998,89,10,79
2999,26,63,80
3000,54,22,106
3001,103,91,31
3002,35,71,100
3003,70,55,83
3004,29,81,78
3005,84,74,124
3006,15,118,25
3007,90,26,51
3008,88,66,40
3009,83,118,15
3010,87,88,73
3011,77,43,104
3012,101,86,31
3013,40,121,22
3014,112,122,103
3015,40,30,113
3016,52,110,18
3017,123,20,12
3018,28,99,18
3019,14,89,69
3020,14,4,28
3021,100,115,73
3022,47,48,37
3023,62,91,44
3024,105,99,77
3025,57,117,104
3026,121,21,97
3027,16,28,54
3028,99,110,127
3029,73,34,15
3030,5,94,112
3031,111,124,51
3032,79,90,16
3033,7,57,40
3034,8,50,21
3035,99,121,26
3036,99,125,20
3037,99,112,3
3038,15,112,40
3039,11,96,93
3040,113,20,110
3041,98,26,40
3042,84,127,53
3043,5,21,121
3044,116,38,101
3045,62,2,8
3046,87,72,27
3047,107,41,23
3048,23,119,81
3049,60,67,114
3050,9,35,80
3051,39,76,68
3052,44,14,122
3053,30,52,57
3054,118,95,74
3055,78,67,113
3056,81,101,75
3057,32,8,60
3058,37,31,22
3059,82,77,15
3060,8,70,105
3061,103,77,67
3062,74,53,44
3063,101,94,22
3064,21,31,5
3065,47,57,50
3066,12,110,49
3067,103,122,108
3068,39,61,6
3069,82,59,39
3070,109,44,0
3071,80,32,19
3072,42,12,83
3073,49,109,82
3074,80,66,77
3075,46,70,37
3076,59,3,15
3077,114,72,100
3078,32,49,127
3079,78,100,57
3080,30,96,6
3081,114,79,120
3082,3,90,8
3083,48,73,91
3084,55,66,116
3085,75,41,70
3086,44,13,26
3087,78,123,62
3088,53,94,121
3089,42,96,23
3090,72,30,119
3091,76,71,89
3092,76,30,96
3093,99,124,107
3094,19,13,88
3095,126,40,110
3096,97,95,116
3097,120,101,66
3098,62,79,65
3099,1,31,126
3100,70,118,38
3101,115,49,83
3102,95,6,24
3103,1,107,64
3104,98,94,105
3105,124,90,55
3106,13,120,3
3107,88,109,3
3108,125,42,13
3109,51,119,80
3110,29,18,95
3111,43,3,78
3112,53,22,42
3113,53,16,2
3114,41,123,52
3115,62,39,25
3116,78,60,28
3117,7,20,117
3118,96,38,57
3119,3,72,68
3120,117,104,71
3121,73,64,40
3122,20,99,28
3123,111,40,23
3124,94,119,108
3125,93,16,64
3126,83,121,18
3127,100,111,95
3128,89,68,41
3129,40,22,66
3130,106,97,34
3131,36,91,4
3132,75,51,121
3133,68,97,60
3134,7,103,44
3135,97,40,76
3136,74,9,69
3137,85,22,35
3138,44,97,27
3139,96,4,38
3140,40,37,54
3141,47,60,38
3142,45,36,55
3143,74,0,91
3144,24,4,80
3145,99,68,12
3146,36,40,117
3147,42,52,36
3148,51,33,13
3149,75,4,108
3150,100,3,9
3151,52,120,104
3152,77,20,40
3153,125,93,106
3154,71,108,30
3155,16,98,11
3156,99,46,86
3157,62,71,114
3158,27,6,43
3159,18,116,120
3160,42,57,3
3161,116,89,66
3162,72,58,55
3163,121,63,91
3164,38,127,80
3165,85,126,14
3166,80,74,99
3167,110,41,127
3168,111,14,24
3169,5,13,109
3170,64,97,89
3171,108,115,70
3172,50,42,110
3173,117,41,81
3174,21,72,84
3175,4,58,67
3176,52,45,20
3177,106,49,72
3178,80,12,59
3179,121,81,67
3180,25,39,63
3181,86,49,42
3182,1,49,122
3183,13,64,37
3184,120,95,68
3185,2,122,23
3186,21,50,57
3187,13,67,81
3188,44,21,64
3189,4,70,27
3190,17,74,0
3191,2,19,89
3192,62,27,6
3193,75,100,40
3194,38,107,24
3195,106,12,90
3196,120,102,17
3197,14,54,66
3198,67,88,84
3199,62,34,119
3200,77,87,61
3201,1,44,21
3202,54,119,79
3203,42,27,66
3204,20,99,123
3205,35,46,14
3206,69,52,15
